"","VK_170831_025","VK_170831_037","VK_170831_043","VK_170831_073","VK_170831_103","VK_170831_163","VK_170831_175","VK_170901_091","VK_170901_121","VK_170901_139","VK_170831_079","VK_170831_115","VK_170831_169","VK_170831_187","VK_170901_037","VK_170901_055","VK_170901_061","VK_170901_097","VK_170901_151","VK_170901_163","VK_170901_175"
"Label","daf16","daf16","daf16","daf16","daf16","daf16","daf16","daf16","daf16","daf16","N2","N2","N2","N2","N2","N2","N2","N2","N2","N2","N2"
"85.076_105.5"," 0.7314547"," 0.6791139"," 0.6515737"," 0.7099951","-2.3622123"," 0.5832616"," 0.6094196"," 0.6164350"," 0.4052000"," 0.3516516","-1.4000346"," 0.6406047","-1.3825761"," 0.5829525","-2.3957734","-0.2447751"," 0.1707250"," 0.3896370","-0.2394516"," 0.6069233"," 0.2958753"
"85.0841_109.1","-0.189539834"," 0.605369005"," 0.016031605"," 0.461728649"," 1.934968697","-0.003685065"," 0.259776139","-0.750727173","-0.750727173","-0.373197512"," 0.439833036"," 0.190370821"," 1.515362417","-2.214184104","-0.796105104"," 0.997305223","-1.622543846","-0.024013062","-0.517239963","-0.592162965"," 1.413380209"
"85.6096_43.5"," 0.41952449"," 0.61704063"," 0.40462916","-4.14131833"," 0.29768105"," 0.15450067"," 0.56994838","-0.33371616"," 0.05394298"," 0.19679365"," 0.32864690"," 0.47827244"," 0.28917749"," 0.28269475","-0.21306498"," 0.05296662"," 0.18780225"," 0.69154166","-0.64363637"," 0.24112715"," 0.06544556"
"86.06_35.1"," 0.6339727"," 0.9138720"," 0.4998377"," 0.9138720"," 0.8640744"," 0.8849565"," 0.1441642"," 0.1709444","-0.8475748"," 0.5870647"," 0.8246999","-0.2342665"," 1.1255310","-2.6848619","-1.2046571","-0.2480182","-0.5239177","-1.5798501","-0.3828925","-0.7605904"," 0.9036397"
"86.0819_44"," 0.25267902"," 0.39975473"," 1.16778146","-3.00478566"," 0.55977865","-0.53972315","-0.49303989","-0.48234741","-0.58355871"," 0.83479961","-1.18252378"," 1.05995836","-1.16600099"," 0.33815359"," 0.39297459"," 0.80380304"," 0.05237341"," 0.99949653"," 0.45965807"," 0.85538003","-0.72461150"
"86.0914_44.2"," 0.82253613","-1.37128273"," 0.08115088"," 1.21570986"," 0.09507737","-1.28713103","-0.49650035"," 0.81256524"," 1.68904845"," 0.26624118"," 0.10543617"," 0.41664515","-0.02432300","-0.24163551"," 0.65268269"," 0.18382861","-0.16337230"," 0.20290263","-0.22844735"," 0.35331815","-3.08445025"
"86.0964_53.4","-0.34456116","-0.34456116"," 2.05348643","-0.68639818"," 0.29853738","-1.10177418","-1.06547967","-1.10177418","-1.23190521"," 1.61218190","-0.47068908"," 0.99613996","-1.02938927"," 0.02043058"," 0.60170817"," 0.37602091"," 0.02043058"," 0.99613996"," 0.86732675"," 0.92353965","-1.38941017"
"86.1014_44.3"," 0.38257976"," 0.40161276"," 0.88403665","-1.37700467"," 0.49072840","-0.69036607","-0.88160240"," 0.90205160","-1.56701079"," 0.24269536"," 0.13937202"," 0.85176939"," 0.11900695","-0.08483939"," 0.16511425"," 0.41857414","-0.18866997"," 0.81183724"," 1.27797780"," 0.61956505","-2.91742808"
"86.1109_44"," 0.54425478"," 0.59500028"," 1.34919227"," 1.21481280","-0.55913148"," 0.65161070"," 0.60906409","-2.46440403"," 1.10564872","-0.04736136","-0.82443006"," 0.89163022"," 0.75752362","-1.15332289","-1.24574546"," 0.15693923","-0.92042783"," 0.63595383","-0.51851275"," 0.26999995","-1.04829462"
"86.353_43.4","-0.3050858","-0.2187705"," 0.9869605","-0.1935499"," 0.9270417","-0.1611424","-0.2349663","-1.0304233","-0.9809105"," 0.9696519"," 1.1336038"," 0.9917247"," 0.4239660","-0.5444785"," 0.7392546","-1.1712001"," 0.9952985","-2.2234410"," 0.8243456","-1.7358326"," 0.8079537"
"86.6651_45.5","-0.05766793"," 0.56433091"," 1.16268607"," 0.95450565","-1.14037848","-0.36927650"," 0.61980998","-0.43851039","-0.63141414"," 1.14418827","-0.48380743"," 0.39120591","-0.48380743","-0.22350563","-0.76986737"," 0.07252786","-3.06264924"," 0.55859043"," 0.36851754"," 0.22926407"," 1.59525783"
"87.0441_31"," 0.8402089711"," 1.1215192834","-1.2860749688"," 0.7841987383","-0.6775703500"," 1.1526803393"," 0.9717566629"," 0.2142877321","-0.3488674042"," 0.6150458921"," 0.0002178399","-1.1988617077"," 0.3354416095","-0.4660706689","-1.2245860351"," 0.2540669004","-2.2227624824"," 0.3111023410"," 1.6784861357","-1.1121282208"," 0.2579093921"
