"","VK_170831_025","VK_170831_037","VK_170831_043","VK_170831_073","VK_170831_103","VK_170831_163","VK_170831_175","VK_170901_091","VK_170901_121","VK_170901_139","VK_170831_079","VK_170831_115","VK_170831_169","VK_170831_187","VK_170901_037","VK_170901_055","VK_170901_061","VK_170901_097","VK_170901_151","VK_170901_163","VK_170901_175"
"Label","daf16","daf16","daf16","daf16","daf16","daf16","daf16","daf16","daf16","daf16","N2","N2","N2","N2","N2","N2","N2","N2","N2","N2","N2"
"85.076_105.5","5585407","5013124","5348859","5752740","24.6","3020690","4176742","3797035","1380490","1179407","24.6","4878606","24.6","3680471","24.6","185597","185597","1984804","185597","6828248","185597"
"85.0841_109.1","9889882","13703820","15426840","13718980","10262360","10592390","14664800","8601424","6401807","8744970","5111073","14071020","6828938","6709312","6752057","16339860","3356110","12515480","7257359","17835080","6936999"
"85.6096_43.5","3634706","6764168","4639933","24.6","1550710","1682855","6404996","620338.5","1263624","1920221","1065767","5215483","857358.3","2999306","668701.5","1602681","978209.1","8517831","322957.2","4824545","394959.4"
"86.06_35.1","3607931","4502871","4419213","4702562","2483111","3911215","3262255","3021218","1411390.5","3325309","1639467","2692684","1847054","938626.9","1209736","2387138","928062.9","1518699","1795012","3665220","1715273.9"
"86.0819_44","1014096","1140126","4412343","15548","781236","170144.6","270241.1","462014","279525.9","2022096","15548","3600012","15548","1504257","1114244","2265899","275092.7","3284494","1224358","4712321","11219.9"
"86.0914_44.2","2732078","82501.9","1670319","4916328","531079.9","82501.9","507052.9","2895644","5947767.3","1273212","117314.5","2066270","82501.9","1080997","1909110","1452964","299514.2","1792774","804387.9","3432665","24.6"
"86.0964_53.4","300675700","325885100","1146020000","258807300","240396500","180817600","246141900","200093900","122756975","529683300","83010690","879372600","57712660","422810900","284103100","579746300","142548400","767761300","332603300","1162519000","45186799"
"86.1014_44.3","1094921","1030227","2739401","61430.1","602981.1","135376.7","137936.8","2099356","55385.6","861653.9","61430.1","2281992","61430.1","969698.2","796986.1","1343414","149294.6","2391403","2714833","3221921","24.6"
"86.1109_44","2560293","2772294","4796324","3686562","801669.6","2523713","3106114","777559.7","2835922.3","1828786","207504.2","3673417","950817","1561015","1053009","2318285","588361.5","3244761","1432486","4767328","290281.6"
"86.353_43.4","31243.8","31243.8","4447087","31243.8","1565154","31243.8","31243.8","24.6","24.6","2986061","2455400","4154948","31243.8","31243.8","1248903","24.6","1772161","24.6","1637115","24.6","553011.3"
"86.6651_45.5","678276.8","1587219","4936249","2839242","27416.7","238561.8","2009315","452722.9","212693.4","3483110","27416.7","1577004","27416.7","871432.9","165073.7","947420.8","24.6","2127005","1131199","2318034","2950731.2"
"87.0441_31","4382232","5257530","2596348","4743505","1319282","4638747","5545471","3580318","2295637.5","3755797","1165473","2293113","1285241","2975926","1628928","3762143","545716.4","4183441","5213722","4164618","1361635.2"
"87.0791_106.2","2049641","2079153","1649198","1965348","343285.6","1090996","1515225","1640532","2831519","673066.9","22124.7","1455614","7181095","1751142","575276.7","1551389","42125","1765622","478571.8","2972113","42125"
"87.0934_43.3","1040542","1421907","3043329","10486610","1308946","2439175","1271767","946458.2","934751.2","1587747","732063.2","2718319","689707.2","1384500","1241542","2016018","934765.8","3336289","1523085","4058623","471634.1"
