"","Fold Change","log2(FC)"
"340.081_77.8",0.0087132,-6.8426
"270.3972_105.5",0.010494,-6.5743
"229.1006_29.8",88.188,6.4625
"194.0224_53.2",0.011629,-6.4262
"213.1235_66.6",50.959,5.6713
"573.4519_25.5",0.020018,-5.6426
"479.3246_25",0.02051,-5.6075
"492.8899_72.9",0.020843,-5.5843
"323.1675_91.6",0.02106,-5.5694
"245.1688_104",47.146,5.5591
"595.7749_122.6",46.092,5.5264
"989.6582_39.6",0.023818,-5.3918
"339.9398_75.4",39.413,5.3006
"618.0971_99.2",0.025898,-5.271
"593.6633_291.4",0.027454,-5.1869
"340.3938_24.6",0.028432,-5.1364
"231.1897_44.2",33.774,5.0778
"246.1281_41.2",0.030186,-5.05
"366.923_62.1",0.034246,-4.8679
"195.0741_87.5",28.614,4.8386
"646.1289_86.4",27.255,4.7685
"302.15_37.6",27.055,4.7578
"96.7264_102.9",0.038053,-4.7158
"261.1235_30.5",24.014,4.5858
"145.0318_46",0.044412,-4.4929
"635.3394_42.8",21.802,4.4464
"245.1286_28.9",20.859,4.3826
"723.3578_94.5",20.777,4.3769
"466.2292_88.1",0.048527,-4.3651
"550.1998_115.3",19.215,4.2642
"693.5639_33.9",0.052629,-4.248
"614.5719_53.2",0.054497,-4.1977
"488.1687_44",0.058422,-4.0973
"506.7728_84.3",0.058786,-4.0884
"735.6564_22.7",0.061856,-4.0149
"145.1336_30.3",16.121,4.0108
"273.0742_41.5",15.955,3.9959
"175.0342_30",15.44,3.9486
"607.3822_40.4",0.064987,-3.9437
"231.1678_30.1",0.065229,-3.9383
"481.1365_40.1",15.291,3.9346
"272.1717_96.1",15.074,3.914
"113.4992_166.6",0.067851,-3.8815
"478.6109_57.3",0.069166,-3.8538
"419.0363_96.5",14.429,3.8509
"230.1864_47.6",14.367,3.8447
"1087.8045_97.9",14.259,3.8338
"182.058_62.9",0.07041,-3.8281
"149.0564_25.9",13.97,3.8042
"557.3656_30.1",0.072113,-3.7936
"329.9238_76.2",0.072226,-3.7913
"376.2268_28.8",0.072236,-3.7911
"154.0377_43.7",13.832,3.79
"454.9557_73.2",13.502,3.7551
"763.5924_35.4",0.075393,-3.7294
"210.0611_53",0.077195,-3.6954
"229.1548_42.5",12.909,3.6904
"647.4134_27.1",0.077602,-3.6878
"276.0844_37.4",12.748,3.6722
"263.6585_292.5",0.079509,-3.6527
"511.1743_98.7",12.081,3.5946
"227.1026_40.2",12.058,3.5919
"217.5724_102.5",11.558,3.5308
"343.9594_53.1",0.087304,-3.5178
"397.9369_70.1",11.389,3.5095
"321.0585_96.1",11.381,3.5086
"173.0921_86.3",11.323,3.5012
"163.5948_95.7",0.088722,-3.4946
"600.3141_44.7",0.089217,-3.4865
"363.8584_19.5",0.089427,-3.4831
"264.087_118.2",0.089482,-3.4823
"586.7869_85.6",0.09041,-3.4674
"560.7446_119.6",0.091331,-3.4528
"915.4578_25",0.091412,-3.4515
"188.0352_83.1",0.091601,-3.4485
"255.6553_65.6",0.092974,-3.427
"390.863_46.3",0.093262,-3.4226
"369.1615_59.2",10.707,3.4204
"375.8326_49.7",0.094618,-3.4017
"397.1972_37.2",0.094619,-3.4017
"216.6445_95.5",0.094835,-3.3984
"665.2445_26.6",0.095217,-3.3926
"336.0479_208.5",10.411,3.38
"122.0689_64.3",10.247,3.3571
"487.8437_69.8",10.24,3.3562
"193.1189_19.2",10.189,3.3489
"478.1259_39.8",10.134,3.3411
"361.1503_80.9",0.098938,-3.3373
"544.7219_48.8",0.098975,-3.3368
"718.5316_37.2",9.9894,3.3204
"641.4601_27.9",0.10094,-3.3085
"159.1493_23.2",9.8024,3.2931
"171.5818_76.4",0.10222,-3.2903
"229.6398_83.5",0.10232,-3.2888
"276.1077_31.1",9.716,3.2804
"280.962_67.7",0.10378,-3.2684
"289.2063_89.6",0.10387,-3.2672
"383.2191_26.4",0.10441,-3.2597
"989.8294_98.3",9.3915,3.2314
"455.2136_39.4",9.3797,3.2295
"331.234_94.6",0.10772,-3.2146
"298.0886_37.7",9.2805,3.2142
"867.012_59.2",0.10862,-3.2026
"113.5868_100.1",9.1468,3.1933
"254.1597_31.6",8.999,3.1698
"572.1826_116.2",0.11321,-3.1429
"326.1823_93.7",0.11498,-3.1205
"196.6107_124.2",0.11808,-3.0821
"294.1111_120.8",0.11865,-3.0752
"739.5109_29.6",0.12124,-3.0441
"293.1893_89.6",0.12228,-3.0318
"439.2922_34.8",8.0866,3.0155
"684.4659_40.1",0.12383,-3.0136
"349.1108_73.1",0.12401,-3.0115
"1176.7792_29.4",0.12407,-3.0107
"625.2015_92",0.12438,-3.0072
