"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21"
"VK_170831_025",-18.182,18.108,-2.1825,2.7175,-8.371,2.6869,-5.9047,0.7803,-6.0558,2.709,-7.5036,-24.843,-9.5741,24.272,-11.505,1.8193,3.7889,-9.4167,-9.0182,-4.9259,9.1871e-15
"VK_170831_037",-27.786,11.585,-11.642,-8.4124,-10.094,13.385,-2.6545,-0.12291,-10.893,11.528,-3.3996,-8.0491,1.8532,-1.345,-1.5196,0.48705,-18.076,21.294,8.6726,10.053,9.0969e-15
"VK_170831_043",4.8595,-28.253,-14.311,-18.754,-16.164,-23.259,-0.84066,-13.625,-8.3551,5.7644,4.4049,6.846,-11.014,9.4379,17.178,14.067,1.2438,-3.5233,2.7185,2.7891,7.036e-15
"VK_170831_073",-29.689,20.597,-12.63,-11.075,-6.861,10.86,5.2206,-2.7443,-2.2676,1.132,-2.0543,-1.0676,8.0272,-8.8568,0.13315,-2.9431,20.29,-11.228,21.623,-1.0874,9.4785e-15
"VK_170831_103",20.91,1.5458,-26.555,1.613,-10.035,-5.4628,-5.2635,8.2361,3.8771,-14.082,-0.98938,17.593,23.807,19.965,-8.6522,-3.8179,-1.4796,4.0224,1.2869,-1.507,7.2234e-15
"VK_170831_163",-19.284,25.526,-9.694,-1.6243,-4.0442,6.5584,4.7124,-6.4012,12.582,-5.4596,0.55101,8.3512,0.071249,-9.0168,-3.5884,9.5987,2.2439,-6.8054,-18.36,21.092,8.2434e-15
"VK_170831_175",-27.106,22.409,-6.8777,-4.5369,-2.15,4.6969,4.8311,-9.0679,9.1517,-1.8801,1.9842,7.4662,-0.65781,-8.9802,1.7742,10.819,-8.0578,4.2372,-7.113,-26.667,8.5418e-15
"VK_170901_091",-20.44,29.473,18.208,3.9801,2.8035,-13.743,9.2298,1.477,12.531,-12.43,-4.9448,-3.9596,-2.8398,7.7869,23.749,-18.473,-4.552,2.2494,1.8373,2.583,8.9928e-15
"VK_170901_121",-13.756,31.307,23.564,13.167,2.932,-29.242,-16.893,3.9875,-20.548,9.1797,1.8238,11.809,1.8223,-9.3087,-8.8725,-1.8191,1.1009,-1.1368,-0.9644,-0.022327,7.3969e-15
"VK_170901_139",14.039,-20.32,8.3837,-25.118,-18.484,-18.638,14.486,18.863,11.088,-2.5931,0.17911,-9.2709,-4.9204,-13.114,-15.314,-6.601,0.045093,2.9677,-1.8405,-1.4293,1.0478e-14
"VK_170831_079",44.59,13.02,-26.566,9.6144,16.373,-2.7124,12.436,-0.13417,-8.159,5.2992,-2.9963,-4.6038,-5.8728,-3.2112,4.1783,-2.0181,18.64,17.725,-7.4775,-1.4502,9.194e-15
"VK_170831_115",-10.047,-30.489,-17.66,-4.7924,-2.2935,13.746,-12.723,-0.14911,-6.998,11.615,5.7618,4.6367,0.55839,-6.443,6.7751,-25.589,-1.8486,-8.2118,-13.026,-3.2341,7.8271e-15
"VK_170831_169",48.147,13.358,-23.786,11.948,14.978,-3.6552,11.035,0.14881,0.020483,4.4986,-0.58435,-3.6381,-4.9875,-5.1556,-3.097,0.16876,-19.85,-17.711,9.1822,0.85871,8.3544e-15
"VK_170831_187",-12.271,-13.348,-3.0644,11.595,9.7242,3.78,-15.333,-4.9437,18.473,-4.9379,11.092,9.8027,-26.41,4.6451,-12.162,-4.161,3.3905,6.5206,10.688,1.6308,9.1038e-15
"VK_170901_037",17.8,-14.708,-1.8089,23.484,-12.078,-0.31572,-26.534,9.4565,12.63,-3.8333,-1.6801,-17.207,9.0626,-12.634,12.1,10.844,2.1613,0.5902,1.4928,-0.37907,1.0436e-14
"VK_170901_055",-26.35,-13.842,5.7962,-1.9724,19.051,11.739,7.4261,36.021,-11.197,-5.303,10.084,5.3409,-3.55,4.7686,7.6897,11.813,-0.00027499,-2.7889,-0.6449,0.21725,9.5479e-15
"VK_170901_061",41.177,-1.5538,24.158,-17.038,1.1169,17.557,-10.958,-4.127,-11.259,-16.99,-26.003,8.582,-8.8738,-3.623,0.71773,0.99303,-0.97004,-0.81721,0.36453,-0.71699,6.6475e-15
"VK_170901_097",-12.556,-27.709,8.7093,8.0132,8.3416,-1.8705,8.9164,-21.149,-16.271,-25.51,15.813,-12.823,9.1006,-4.433,-5.9757,-1.0304,-1.8386,1.3914,-0.48714,0.99302,9.7439e-15
"VK_170901_151",11.519,-17.8,29.274,32.377,-25.555,13.539,22.445,-2.9841,-0.21663,13.244,-1.5901,9.9797,0.28322,4.5547,-0.70039,0.54068,1.6369,-0.20432,1.0032,-0.46828,1.3101e-14
"VK_170901_163",-29.592,-37.253,7.2499,-2.2152,30,-9.2556,2.806,-7.1422,12.409,14.321,-22.143,-0.67288,13.113,2.9852,-4.1797,3.5646,0.63045,0.20917,0.072386,0.96372,3.9434e-14
"VK_170901_175",44.016,18.347,31.434,-22.971,10.81,9.6057,-6.4388,-6.3799,9.4576,13.727,22.196,-4.2717,11.001,7.7059,1.2711,1.7378,1.4999,0.63497,-0.0091197,0.70681,-2.0842e-13
