"","Overall"
"229.1548_42.5",100
"213.1235_66.6",97.153
"215.1391_40.9",93.585
"302.15_37.6",91.384
"230.1581_50.1",89.664
"113.5868_100.1",89.038
"245.1688_104",87.313
"228.9523_47.2",86.236
"154.0377_43.7",82.488
"212.9573_44.5",81.998
"195.0741_87.5",81.974
"110.0349_42.9",80.664
"343.1301_29.8",79.611
"203.1061_32.4",79.573
"166.1212_98",79.137
"262.1398_126.3",78.768
"376.2268_28.8",77.811
"154.0439_49.9",77.622
"159.0278_41.8",76.877
"159.1493_23.2",75.961
"244.1657_99.5",75.247
"144.6052_90.2",74.87
"173.0921_86.3",74.679
"120.1019_37",73.829
"239.1366_30.2",73.79
"145.1336_30.3",73.63
"253.1294_96.5",72.912
"153.041_48.2",72.78
"261.1235_30.5",72.664
"313.1547_30.5",72.454
"137.0457_42.8",72.407
"313.0644_131.4",71.639
"334.1798_33.2",71.607
"267.1711_20.8",70.673
"647.4134_27.1",70.412
"138.055_26.8",70.31
"186.1055_290.5",70.244
"190.9954_51.1",70.174
"828.866_81.8",69.846
"272.1717_96.1",69.569
"536.3416_30.2",69.395
"345.2247_93.9",69.217
"380.2523_28.8",68.859
"150.0775_39.5",68.826
"187.1078_71.5",68.81
"304.1867_42.1",68.602
"301.1191_30.2",68.437
"113.0346_37.5",68.365
"346.2332_33.7",68.362
"135.084_90.8",68.36
"319.1856_27.5",67.874
"217.1185_73.4",67.841
"333.2212_35.9",67.698
"338.2051_28.6",67.683
"390.2093_127.6",67.482
"290.1453_115.2",67.466
"561.0582_92.5",67.147
"302.2074_34.3",67.115
"559.345_31.3",67.088
"437.2736_28.4",66.933
"364.2233_30",66.503
"465.271_33",66.491
"362.211_29.9",66.239
"347.2365_33",66.221
"289.2063_89.6",66.174
"253.1523_29.4",66.12
"193.1133_285.9",66.026
"114.1026_97.6",65.936
"450.2796_31.2",65.857
"238.1074_27.7",65.775
"332.2179_35.9",65.748
"122.5864_102.8",65.584
"288.1918_22.2",65.557
"473.2972_35",65.538
"330.2387_30.1",65.454
"365.0627_184.7",65.421
"638.2698_45",65.404
"422.0264_132.1",65.362
"247.111_36.5",65.321
"280.175_25.2",65.181
"408.2496_31.1",65.165
"358.2701_26.9",65.126
"460.2846_34.4",65.089
"416.2501_34.9",64.895
"445.2657_35.5",64.894
"220.1181_30.1",64.877
"316.2232_32.9",64.862
"393.2132_36.2",64.717
"360.2127_37.1",64.625
"361.2447_94.4",64.566
"290.1711_45.7",64.43
"304.1809_125.4",64.385
"136.0142_43.5",64.313
"290.1644_123",64.238
"459.2809_34",64.219
"493.3023_29.7",64.192
"345.2577_27.5",64.017
"187.1441_92.3",63.94
"479.1214_40.6",63.707
"528.3757_27.3",63.393
"318.2025_38.8",63.36
"461.2605_38.6",63.279
"459.3177_29.9",63.125
"231.0985_57.9",63.113
"131.1292_91.4",63.048
"350.2062_31",62.866
"375.8326_49.7",62.848
"303.2109_33",62.814
"915.4578_25",62.743
"352.1866_36.9",62.742
"429.3073_27.8",62.709
"163.5948_95.7",62.701
"502.3234_33.3",62.645
"394.2338_31.9",62.608
"457.3391_26.9",62.59
"613.4286_27",62.529
"592.3709_29",62.465
"331.242_30.3",62.442
"322.1428_97.6",62.293
"368.1605_32",62.26
"317.2261_32.4",62.102
"103.5091_39.7",61.925
"221.1214_32.7",61.888
"265.6742_279.2",61.845
"449.2749_28.9",61.766
"378.2392_31.5",61.691
"310.173_29.9",61.651
"200.6186_289.7",61.645
"363.8584_19.5",61.64
"187.132_94.2",61.64
"216.14_289.2",61.383
"366.923_62.1",61.127
"294.1111_120.8",61.043
"516.3385_34.2",61.031
"180.1181_285.7",60.843
"345.2132_39.1",60.757
"174.1431_38",60.739
"145.0973_118.5",60.726
"245.1861_29.7",60.723
"412.165_29.7",60.716
"514.3605_27.8",60.68
"359.2289_37.4",60.615
"529.9196_85.1",60.614
"212.0528_35",60.593
"353.2237_27.6",60.567
"399.1446_133.3",60.548
"175.0016_42.5",60.402
