"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6","Comp 7","Comp 8"
"85.076_105.5",-0.021156,0.016987,-0.011215,0.0024975,0.031873,-0.025098,0.010673,-0.016597
"85.0841_109.1",-0.0017103,-0.015966,0.011205,0.017664,-0.024379,-0.012,0.0064949,-0.0022098
"85.6096_43.5",0.012351,-0.0015861,-0.0063589,-0.011261,-0.022839,-0.016485,-0.038204,-0.041145
"86.06_35.1",-0.012613,-0.033064,0.011456,0.015478,-0.0088179,-0.01584,0.013014,-0.0015454
"86.0819_44",0.013916,0.0099533,-0.036094,-0.0083786,-0.011174,-0.015088,-0.028799,-0.012625
"86.0914_44.2",-0.0091628,0.0057354,-0.012975,-0.0061963,-0.0047954,0.053611,0.027347,0.017206
"86.0964_53.4",0.018174,0.0020304,-0.044655,0.012715,-0.0026505,0.0053234,-0.0028305,0.0046445
"86.1014_44.3",0.008525,0.0090922,-0.027308,0.0016775,-0.026953,0.020884,-0.012321,0.0085075
"86.1109_44",-0.014499,0.001858,-0.012714,0.025982,-0.0075349,0.00046747,-0.0029583,-0.0024095
"86.353_43.4",0.016508,-0.037973,0.0030456,0.022833,0.0077337,-0.0057534,-0.013617,0.024684
"86.6651_45.5",-0.0094116,0.0043313,-0.014947,0.021778,0.022417,-0.001326,-0.011754,-0.016962
"87.0441_31",-0.020502,0.0021509,0.010634,-0.0065013,0.0047674,-0.0018803,-0.031577,0.0057038
"87.0791_106.2",-0.017604,0.0054707,0.0069132,0.0064159,-0.01605,0.021766,-0.00061914,-0.014149
"87.0934_43.3",0.0018738,-0.0031205,-0.0014027,0.035066,-0.0041524,0.00057665,0.036355,0.022071
"87.0998_41.7",0.011402,0.008729,-0.045333,0.013184,-0.008455,0.0016805,0.00077598,0.0082828
"87.1583_110.9",-0.016219,0.020688,-0.014008,0.0019606,0.051745,-0.012075,-0.0092582,-0.0055373
"87.4218_44.4",-0.011215,-0.02899,0.0077819,0.016012,0.0002434,0.017504,-0.028584,-0.0099857
"87.8474_35.1",-0.024238,0.01941,0.020891,0.0054249,0.0090232,-0.032371,0.014227,-0.0026075
"88.0216_176.6",-0.026804,0.031354,-0.019445,0.017882,-0.0027337,0.013023,-0.0070891,-0.0023275
"88.0391_86",-0.015775,0.0041423,0.0099625,-0.028567,0.009593,-0.030859,-0.013771,0.016815
"88.0631_102.2",-0.032472,0.026351,-0.01486,0.011696,-0.0063905,-0.012357,0.0017341,0.012498
"88.5648_105.7",-0.0063102,-0.0084355,-0.0050316,-0.012205,-0.01978,0.019771,-0.0051834,0.03696
"89.0382_175",-0.020902,0.020359,-0.02906,-0.0076037,0.01774,-0.024543,-0.00039279,0.018761
"89.0727_36.3",7.9289e-05,-0.027164,0.022523,0.023583,-0.0067494,-0.014346,-0.0064487,0.0044688
"89.1073_96.6",-0.038265,0.020596,-0.0097725,0.005155,-0.014434,0.00027675,0.0045568,-0.0052997
"89.1073_291.8",-0.026204,0.030934,-0.015102,0.0021886,0.028585,-0.0078427,-0.006593,-0.010201
"90.0496_72.2",-0.021105,0.021244,-0.0069623,-0.00094583,0.032042,-0.026967,0.013673,-0.019047
"90.055_63.2",-0.036954,0.024198,-0.016711,0.0017918,0.0019845,0.0030101,0.0010092,-0.0052334
"90.0705_71.1",-0.032934,0.025884,-0.0092806,0.010462,0.021719,-0.0059094,0.00053579,-0.014132
"90.1107_96.9",-0.021229,0.0058038,-0.00058669,0.0056387,-0.035875,-0.027445,0.039772,-0.011823
"90.5204_241.1",0.015185,-0.0091753,0.019748,-0.024799,-0.018481,0.018756,-0.011361,-0.0074286
"90.5314_248.2",0.013765,-0.032591,0.021864,-0.0096006,0.0050681,-0.01584,-0.01998,0.0061304
"91.052_70.7",-0.02956,0.023647,0.0021701,0.020803,-0.024269,0.020616,0.0042793,-0.021709
"91.0582_67.4",-0.036968,0.021162,-0.013381,0.0013742,0.0095814,-0.018064,0.0047652,-3.3088e-05
"91.0947_20.6",-0.01086,0.0043339,-0.0054434,-0.012085,0.0022089,-0.023141,-0.0044509,0.0027276
"91.528_243.9",0.0021014,-0.013642,0.019938,-0.015101,-0.010099,0.00037934,0.016606,-0.02106
"92.0286_43.5",0.0029819,-0.0056635,-0.0093925,0.051166,-0.0072468,-0.026074,-0.0077418,-0.019903
"92.0495_29.6",-0.018851,0.0081072,-0.011865,-0.017655,-0.018335,0.011488,0.018717,0.0071295
"92.0592_71.5",-0.028882,0.017438,-0.012397,0.0045646,-0.0094849,0.028513,-0.012953,-0.004226
"92.3122_105.6",-0.0013553,-0.032853,0.025294,0.030487,-0.012289,-0.0025758,0.0044502,-0.0065743
"92.4652_62.5",-0.019873,0.018899,0.011711,-0.027009,0.018358,-0.031482,0.0053029,-0.013875
"92.5141_27.3",0.012301,-0.00068771,0.017325,0.0048995,-0.0028282,-0.019391,0.0010159,0.0093665
"92.5223_256.5",0.022323,-0.01991,0.031712,-0.020401,0.0063664,-0.0052795,0.0048255,0.0070717
"93.0447_97.3",-0.033573,0.026145,-0.0064995,0.0070236,0.01372,-0.018496,0.006871,0.00049008
"93.0447_33.8",0.0073587,-0.017096,0.00082797,0.032319,-0.0062717,-0.02869,0.023831,-0.0036275
"93.0699_30.3",-0.0025523,0.0017776,-0.0056487,0.023214,-0.010768,0.00017434,0.0067863,-0.038039
"94.5023_285.2",0.0065921,-0.0073252,0.036211,-0.023522,0.0033427,0.0033035,0.01055,0.0099017
"94.9295_45.4",0.0011328,0.0056926,-0.011463,-0.013712,0.00015187,0.031934,0.011161,0.0046383
"95.0604_103.4",-0.036398,0.02527,-0.011829,0.00080916,-0.0098178,-0.0051082,0.00054838,0.00012693
"95.5229_39.6",-0.00112,-0.00038113,0.0020066,0.020324,-0.022795,0.036447,-0.0046799,0.0032693
"95.5229_253.8",0.012237,-0.0061915,-0.0036266,-0.00047828,0.0018977,0.01198,0.014186,0.015453
"95.5455_264.6",-0.0087222,-0.033435,0.015247,0.0072029,0.008531,0.018018,-0.037924,0.0063768
"96.0637_103",-0.014512,-0.011193,-0.019902,4.8598e-05,-0.022949,0.037561,-0.023493,0.01912
"96.0784_63",-0.010322,-0.025378,0.0042929,0.012342,-0.017465,-0.025517,0.02177,-0.00086157
"96.3057_49.4",-0.024308,0.022641,-0.0098682,-0.0027753,0.025487,-0.014791,0.0028434,-0.0043607
"96.4361_27.1",0.0097275,-0.023682,0.0036677,0.026015,-0.016328,-0.036015,0.005703,0.0085135
"96.7264_102.9",0.024778,-0.0010055,0.0096778,-0.031841,0.023977,0.013361,0.010206,-0.017972
"96.9719_29.8",-0.0016442,0.0082234,0.00062002,0.0038051,-0.035282,0.053898,-0.0025485,-0.0067754
"97.0284_114.9",-0.0054598,0.025143,-0.0066773,-0.0013756,0.045381,-0.0054378,-0.0027187,-0.011327
"97.1012_25.3",0.017787,-0.028336,0.025584,-0.01085,-0.0073403,-0.0010583,0.0057488,0.0029917
"97.1926_49.4",0.002229,-0.0069115,0.03291,-0.0070403,-0.0048973,-0.020459,0.0006771,0.0069227
"97.9737_227.7",0.020327,-0.0047896,-0.010166,-0.03498,0.035692,0.0081214,0.015192,-0.024886
"98.0089_260.8",0.014264,-0.0063636,-0.01029,-0.038662,0.030508,0.0030876,0.012152,-0.012601
"98.06_88.8",-0.018182,0.014445,-0.022044,-0.011415,0.0098776,-0.024261,-0.00076654,0.020082
"98.0964_285",-0.0007114,-0.013451,0.025993,-0.012975,0.015264,-0.0099645,0.0024691,-0.0214
"98.5152_279.4",0.0011568,-0.013724,0.023147,0.018814,-0.0059265,-0.0039384,0.035547,-0.031331
"98.5181_193.7",-0.0096183,0.01526,0.012452,0.017381,-0.019552,-0.021747,0.0095681,0.012116
"98.6794_45.9",0.017234,0.0052166,-0.012798,-0.039881,0.027706,0.01256,-5.764e-05,-0.016721
"98.9775_255.5",-0.0093879,-0.018669,0.010375,0.0041373,-0.015131,-0.02904,0.041036,-0.03028
"99.0804_24.6",0.0013787,0.0096824,0.013496,0.019401,-0.0090057,-0.019335,-0.03437,0.027674
"99.0917_105",0.0016564,-0.019339,-0.0020315,-0.037635,-0.0093133,-0.021335,0.0020402,-0.025185
"99.5247_240.5",-0.0036268,-0.022738,0.022368,-0.0017552,0.0018129,0.012355,-0.019887,0.039465
"99.5374_231.3",0.0079103,-0.017562,0.022,0.0028848,0.0051832,-0.006391,-0.044465,0.032672
"100.0869_105.5",-0.021913,0.012667,0.0015349,0.0031174,-0.046604,0.010225,0.0048049,0.011901
"100.2573_38.4",-0.0081213,-0.0037054,0.0031146,0.0046366,0.010977,0.017353,-0.051491,-0.00073718
"100.5789_103.1",-0.015447,0.0077146,-0.026558,-0.01061,0.01534,-0.028054,0.0050169,0.015343
"100.5915_95",0.029034,-0.0081547,0.013877,0.0091089,0.0013581,-0.0028176,0.029207,-0.01608
"100.9807_133.4",-0.013019,0.0077468,0.021064,0.01202,-0.018675,0.0034088,0.018594,-0.031102
"101.071_88.3",-0.012406,0.024637,-0.0025549,-0.0058243,0.047655,-0.01166,-0.016228,-0.0065138
"101.1073_108.6",-0.027543,0.010482,-0.022948,0.011448,0.0036168,-0.020962,0.0062344,-0.0035542
"101.1991_38.5",-0.014615,-0.0092793,0.00031782,0.0080225,0.017977,0.029307,-0.041175,0.0077434
"102.155_39.4",-0.026114,0.024846,-0.010975,-0.0022178,0.028364,0.020135,-0.0355,0.0012749
"102.5707_117.4",-0.014948,0.011858,-0.020589,0.0024799,-0.014361,0.045436,-0.015103,0.002631
"103.0318_262.3",0.0091038,-0.0058775,0.0086354,0.024283,-0.03338,0.0014584,-0.0052202,0.021759
"103.0372_237.1",0.0042459,-0.026103,0.030666,-0.014375,0.012117,0.0012026,-0.0085048,0.024156
"103.0542_41.9",-0.0081586,0.027612,-0.037061,0.0071909,-0.0071495,-0.0018788,-0.0042049,0.022484
"103.0758_23.7",0.0024632,-0.023671,0.013338,0.0093841,-0.013003,-0.007995,0.045748,-0.022339
"103.1232_34.4",-0.021673,0.0033227,-0.02839,0.012489,-0.010685,0.039867,-0.023548,-0.0090925
"103.5091_39.7",-0.019536,-0.017164,-0.0085496,-0.02054,-0.013225,-0.0011155,-0.0030469,0.017125
"103.5261_238.8",0.0095694,-0.032713,0.01423,-0.0087424,0.0080866,0.015511,0.00020004,0.019558
"103.5322_254.4",0.017772,-0.013799,0.0006194,-0.02899,0.00050641,0.020184,0.037176,0.0066713
"103.8235_40.1",-0.023397,0.02019,-0.001912,-0.008441,0.023173,-0.03815,-0.0049447,0.018441
"104.0528_48.9",0.0053017,0.0073304,-0.023665,0.022618,-0.023231,0.018459,-0.010206,-0.0048922
"104.0575_44.7",-0.015847,0.029859,-0.031967,0.017602,-0.0027242,0.0044058,-0.0016126,0.0079344
"104.0706_43.1",-0.034911,0.014597,-0.024491,0.0083702,-0.0040373,-0.01204,-0.0063349,0.004586
"104.0876_41.6",-0.032545,0.026769,-0.014977,0.0010378,0.00047302,-0.001309,-0.0077249,0.022526
"104.0981_39.5",-0.0021955,0.021621,0.021812,-0.014709,-0.0048005,-0.011134,-0.0090476,0.0086905
"104.1002_41.4",-0.036245,0.025805,-0.0070055,-0.0016866,0.0037752,-0.0070806,0.0003722,0.014402
"104.1136_41.7",-0.034508,0.024491,-0.013345,-0.0032873,0.0041015,-0.0016102,-0.010395,0.015457
"104.1188_39.2",-0.026088,0.01493,-0.0154,0.0051995,-0.016371,0.027414,-0.0050043,0.023428
"104.1262_41.5",-0.032324,0.028206,-0.013354,-0.00065373,0.0018475,-0.00046184,-0.0093656,0.023221
"104.3915_40.2",-0.016369,0.014205,0.0085883,-0.00019659,0.0066433,-0.0056129,0.0051532,-0.006002
"105.0909_41.1",0.011954,0.0080511,0.026049,-0.0014231,-0.021887,-0.013452,0.0075942,0.019595
"105.1104_42.5",-0.030871,0.033024,-0.012132,-0.0032989,0.0040647,0.007191,-0.017249,0.01312
"105.1174_41.9",0.013799,0.0039659,0.027594,-0.0012981,-0.022363,-0.011079,-0.00072501,0.023739
"105.1304_42.3",-0.0042367,0.0046946,0.017458,0.016746,-0.034063,-0.0010701,0.025648,-0.0099181
"106.0498_88.6",-0.017923,0.016035,-0.024469,-0.01772,0.027177,-0.030857,-0.0052695,0.02076
"106.1106_41.6",-0.0011884,-0.017889,0.040609,0.0039608,-0.02223,0.0045558,0.00092517,0.0077198
"106.1144_41.4",-0.027597,0.013489,-0.020951,-0.0066111,0.0049328,0.0060962,-0.018734,0.032318
"106.9858_196.6",-0.010899,0.012547,0.0090069,0.013357,-0.027456,-0.012524,0.015037,-0.041377
"107.0491_39.3",-0.012213,0.028609,-0.02707,0.018079,-0.016866,0.012882,-0.0047393,-0.0012523
"107.0653_152.4",-0.020929,0.02107,-0.013128,-0.0031718,0.0072928,-0.024826,0.0099697,0.01591
"107.1416_39.6",-0.0018762,-0.025325,-0.00099997,-0.0041601,0.011775,0.026176,-0.029405,0.023063
"107.5731_44.9",0.014684,-0.02396,-0.0099746,-0.012822,-0.024056,0.0038348,-0.0010865,0.012958
"107.5993_93.8",0.025953,0.0083336,-0.013328,0.017166,-0.011919,0.033389,0.01449,-0.026388
