"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6","Comp 7","Comp 8"
"VK_170831_025",-24.1,-2.4431,2.3097,-7.1065,-8.1577,-6.706,-3.5965,15.162
"VK_170831_037",-27.629,2.1515,-0.49912,9.0281,-7.8248,-22.504,-24.029,-8.6717
"VK_170831_043",0.65559,-26.563,-41.529,13.448,3.9799,6.817,1.0078,-7.3136
"VK_170831_073",-33.473,2.1587,8.579,20.618,12.513,6.8355,21.29,21.385
"VK_170831_103",-0.72835,-29.797,-11.188,-9.5578,-37.249,-5.0862,4.9806,15.342
"VK_170831_163",-28.483,-1.6724,11.931,2.9591,-5.3705,-6.146,-8.1199,-6.6199
"VK_170831_175",-31.044,2.7805,8.497,4.9063,-0.33813,-3.6025,-0.49401,2.198
"VK_170901_091",-28.091,0.35564,8.7574,-17.599,11.678,14.323,11.772,-7.6753
"VK_170901_121",-24.758,-3.1496,8.6736,-26.379,11.396,17.002,-4.8113,-10.306
"VK_170901_139",3.5501,-31.078,-38.025,1.0255,15.22,-2.1598,1.7083,-13.602
"VK_170831_079",22.552,-12.726,31.937,11.423,-13.076,14.655,0.85085,-12.851
"VK_170831_115",12.21,16.252,-10.305,32.465,8.2735,1.9536,-1.2083,6.0569
"VK_170831_169",24.552,-14.636,31.364,6.7099,-14.73,14.15,1.3933,-5.5799
"VK_170831_187",8.1808,22.968,2.1997,4.482,-4.0716,1.8161,-8.6901,-0.31016
"VK_170901_037",21.9,1.6527,-0.58633,4.632,7.3938,17.633,-14.163,9.7703
"VK_170901_055",2.4855,32.614,0.80251,2.5472,-1.9378,-7.3552,6.8435,-5.3136
"VK_170901_061",29.612,-11.036,8.9026,-9.2802,8.1389,-23.31,14.365,9.2765
"VK_170901_097",14.422,21.894,-14.989,-4.3504,-0.68686,3.4546,-2.3997,-6.9438
"VK_170901_151",23.693,7.8789,-10.611,-22.42,9.994,6.7289,-15.644,25.383
"VK_170901_163",11.264,33.727,-24.401,-12.642,-18.386,-3.3305,17.607,-12.026
"VK_170901_175",23.23,-11.33,28.183,-4.9086,23.243,-25.168,1.3377,-7.3615
