"","Comp. 1","Comp. 2","Comp. 3","Comp. 4","Comp. 5"
"85.076_105.5",0.91619,0.88606,0.87217,0.87213,0.87285
"85.0841_109.1",0.37252,0.43496,0.45206,0.45152,0.45391
"85.6096_43.5",0.54215,0.52,0.52947,0.53695,0.53955
"86.06_35.1",1.4671,1.495,1.4707,1.4684,1.4679
"86.0819_44",0.58146,0.5759,0.75447,0.75559,0.75592
"86.0914_44.2",0.56261,0.49513,0.51093,0.51,0.51032
"86.0964_53.4",0.58872,0.7383,0.89867,0.8981,0.89771
"86.1014_44.3",0.37322,0.35854,0.50914,0.50918,0.51039
"86.1109_44",0.92321,0.81428,0.80238,0.80497,0.80473
"86.353_43.4",0.074257,0.9675,0.95117,0.95389,0.95353
"86.6651_45.5",0.55671,0.48973,0.49045,0.50283,0.50397
"87.0441_31",1.0428,0.93734,0.92386,0.92239,0.922
"87.0791_106.2",0.80999,0.75708,0.74551,0.74417,0.74405
"87.0934_43.3",0.10201,0.090343,0.11374,0.16863,0.16857
"87.0998_41.7",0.34797,0.46705,0.71577,0.71528,0.7151
"87.1583_110.9",0.53086,0.65816,0.65315,0.65801,0.663
"87.4218_44.4",1.3005,1.3242,1.302,1.3011,1.3006
"87.8474_35.1",0.63867,1.0246,1.0396,1.0379,1.0374
"88.0216_176.6",0.96546,1.0838,1.0777,1.0777,1.0773
"88.0391_86",0.77707,0.70562,0.69151,0.69786,0.69756
"88.0631_102.2",1.4081,1.3607,1.3404,1.3382,1.3378
"88.5648_105.7",0.71942,0.72916,0.7213,0.72314,0.72322
"89.0382_175",1.0887,0.97251,1.0217,1.0199,1.0196
"89.0727_36.3",0.3821,0.52965,0.6154,0.61773,0.61779
"89.1073_96.6",1.8655,1.7003,1.6664,1.6634,1.6628
"89.1073_291.8",0.89389,1.0601,1.0473,1.0467,1.0472
"90.0496_72.2",0.75262,0.85316,0.83584,0.83523,0.836
"90.055_63.2",1.7685,1.6237,1.5997,1.5968,1.5961
"90.0705_71.1",1.3411,1.3534,1.3241,1.3237,1.3235
"90.1107_96.9",1.1584,1.0256,1.0031,1.0026,1.0048
"90.5204_241.1",0.83522,0.73863,0.74133,0.74865,0.74874
"90.5314_248.2",0.20635,0.67685,0.70769,0.70733,0.70702
"91.052_70.7",1.0708,1.1954,1.1696,1.1682,1.1682
"91.0582_67.4",1.8062,1.645,1.6154,1.6125,1.6118
"91.0947_20.6",0.64235,0.56506,0.56235,0.56374,0.56357
"91.528_243.9",0.032319,0.16948,0.26162,0.27054,0.27093
"92.0286_43.5",0.019268,0.16902,0.16529,0.22774,0.22935
"92.0495_29.6",1.1284,0.99259,0.99308,0.9951,0.99496
"92.0592_71.5",1.4101,1.2846,1.264,1.2617,1.2612
"92.3122_105.6",0.56782,0.71753,0.79952,0.80286,0.80283
"92.4652_62.5",0.58695,0.81881,0.80516,0.80782,0.80763
"92.5141_27.3",0.94566,0.86114,0.87036,0.86878,0.86853
"92.5223_256.5",1.1664,1.0412,1.0781,1.0781,1.0776
