"","FC","log2(FC)","raw.pval","-log10(p)"
"229.1548_42.5",12.909,3.6904,1.3685e-10,9.8637
"213.1235_66.6",50.959,5.6713,2.065e-09,8.6851
"215.1391_40.9",6.4103,2.6804,8.5664e-08,7.0672
"302.15_37.6",27.055,4.7578,1.2364e-06,5.9078
"230.1581_50.1",7.7615,2.9563,4.1707e-06,5.3798
"113.5868_100.1",9.1468,3.1933,8.4831e-06,5.0714
"245.1688_104",47.146,5.5591,9.5516e-06,5.0199
"212.9573_44.5",2.515,1.3306,1.5905e-05,4.7985
"376.2268_28.8",0.072236,-3.7911,1.6442e-05,4.784
"262.1398_126.3",2.366,1.2424,2.0472e-05,4.6888
"159.0278_41.8",2.3348,1.2233,2.3678e-05,4.6256
"166.1212_98",0.13912,-2.8456,2.7904e-05,4.5543
"228.9523_47.2",4.2569,2.0898,3.0776e-05,4.5118
"195.0741_87.5",28.614,4.8386,4.1484e-05,4.3821
"343.1301_29.8",6.8574,2.7777,6.0982e-05,4.2148
"144.6052_90.2",0.28345,-1.8189,6.167e-05,4.2099
"173.0921_86.3",11.323,3.5012,7.2003e-05,4.1426
"120.1019_37",2.6451,1.4033,7.4413e-05,4.1283
"154.0377_43.7",13.832,3.79,8.8332e-05,4.0539
"334.1798_33.2",0.17777,-2.4919,8.8649e-05,4.0523
"110.0349_42.9",4.2289,2.0803,0.00010027,3.9988
"380.2523_28.8",0.20693,-2.2728,0.0001162,3.9348
"203.1061_32.4",4.9373,2.3037,0.00011968,3.922
"304.1867_42.1",0.23367,-2.0975,0.00014315,3.8442
"346.2332_33.7",0.27609,-1.8568,0.00015325,3.8146
"186.1055_290.5",0.26316,-1.926,0.00015599,3.8069
"239.1366_30.2",0.43539,-1.1996,0.00017836,3.7487
"333.2212_35.9",0.26356,-1.9238,0.00019075,3.7195
"319.1856_27.5",0.42281,-1.2419,0.00020787,3.6822
"345.2247_93.9",0.17863,-2.485,0.00021213,3.6734
"313.1547_30.5",0.30937,-1.6926,0.00021296,3.6717
"302.2074_34.3",0.26137,-1.9358,0.00023186,3.6348
"465.271_33",0.32339,-1.6286,0.00023604,3.627
"267.1711_20.8",0.34746,-1.5251,0.00023608,3.6269
"364.2233_30",0.26143,-1.9355,0.0002709,3.5672
"338.2051_28.6",0.20513,-2.2854,0.00028118,3.551
"332.2179_35.9",0.28871,-1.7923,0.00031587,3.5005
"154.0439_49.9",4.6214,2.2083,0.00033262,3.4781
"347.2365_33",0.22073,-2.1796,0.00033664,3.4728
"330.2387_30.1",0.30375,-1.719,0.0003467,3.46
"473.2972_35",0.31256,-1.6778,0.0003531,3.4521
"408.2496_31.1",0.21217,-2.2367,0.0003545,3.4504
"288.1918_22.2",0.29989,-1.7375,0.00036758,3.4346
"390.2093_127.6",0.14452,-2.7906,0.00037481,3.4262
"358.2701_26.9",0.32662,-1.6143,0.00038281,3.417
"289.2063_89.6",0.10387,-3.2672,0.00038522,3.4143
"316.2232_32.9",0.28456,-1.8132,0.00043013,3.3664
"187.1441_92.3",0.32676,-1.6137,0.000435,3.3615
"244.1657_99.5",5.7282,2.5181,0.00044434,3.3523
"193.1133_285.9",0.31581,-1.6629,0.00046132,3.336
"528.3757_27.3",0.34554,-1.5331,0.00047132,3.3267
"459.2809_34",0.32211,-1.6344,0.00047605,3.3223
"445.2657_35.5",0.30245,-1.7252,0.00048675,3.3127
"301.1191_30.2",2.8645,1.5183,0.00048825,3.3114
"290.1711_45.7",0.23779,-2.0722,0.00051257,3.2903
"135.084_90.8",0.39318,-1.3468,0.00051919,3.2847
"647.4134_27.1",0.077602,-3.6878,0.00052806,3.2773
"187.1078_71.5",7.3675,2.8812,0.00053367,3.2727
"461.2605_38.6",0.35042,-1.5128,0.00056171,3.2505
"536.3416_30.2",0.19755,-2.3397,0.00058933,3.2296
"361.2447_94.4",0.2345,-2.0923,0.00059394,3.2263
"345.2577_27.5",0.32164,-1.6365,0.00060174,3.2206
"253.1523_29.4",0.3391,-1.5602,0.00065268,3.1853
"416.2501_34.9",0.25991,-1.9439,0.0006594,3.1808
"479.1214_40.6",2.9199,1.5459,0.0006613,3.1796
"290.1644_123",0.42829,-1.2233,0.00066506,3.1771
"493.3023_29.7",0.32228,-1.6336,0.00067158,3.1729
"280.175_25.2",0.36606,-1.4499,0.00068548,3.164
"137.0457_42.8",2.2711,1.1834,0.00068872,3.162
"429.3073_27.8",0.40102,-1.3183,0.00069835,3.1559
"159.1493_23.2",9.8024,3.2931,0.00071618,3.145
"272.1717_96.1",15.074,3.914,0.00071776,3.144
"253.1294_96.5",7.3392,2.8756,0.00071865,3.1435
"437.2736_28.4",0.22092,-2.1784,0.00075387,3.1227
"360.2127_37.1",0.28723,-1.7997,0.00077493,3.1107
"362.211_29.9",0.21163,-2.2404,0.0007754,3.1105
"365.0627_184.7",0.21826,-2.1959,0.00077997,3.1079
"217.1185_73.4",3.6767,1.8784,0.00078144,3.1071
"393.2132_36.2",0.3201,-1.6434,0.00078694,3.1041
"303.2109_33",0.282,-1.8262,0.00078721,3.1039
"516.3385_34.2",0.28744,-1.7987,0.00078925,3.1028
"559.345_31.3",0.1311,-2.9312,0.00079213,3.1012
"153.041_48.2",5.1379,2.3612,0.00082709,3.0824
"318.2025_38.8",0.26231,-1.9306,0.00084591,3.0727
"378.2392_31.5",0.247,-2.0174,0.0008815,3.0548
"265.6742_279.2",0.42968,-1.2187,0.00089594,3.0477
"187.132_94.2",0.3084,-1.6971,0.00090017,3.0457
"331.242_30.3",0.27604,-1.857,0.0009375,3.028
"460.2846_34.4",0.24715,-2.0165,0.00095978,3.0178
"592.3709_29",0.32951,-1.6016,0.00098348,3.0072
"317.2261_32.4",0.25718,-1.9592,0.00099116,3.0039
"459.3177_29.9",0.40785,-1.2939,0.00099923,3.0003
"457.3391_26.9",0.36121,-1.4691,0.0010058,2.9975
"449.2749_28.9",0.40741,-1.2955,0.0010322,2.9862
"238.1074_27.7",3.6589,1.8714,0.0010428,2.9818
"613.4286_27",0.32038,-1.6421,0.0010431,2.9817
"514.3605_27.8",0.29286,-1.7717,0.0010579,2.9756
"352.1866_36.9",0.24241,-2.0445,0.0010924,2.9616
"368.1605_32",0.28763,-1.7977,0.0011106,2.9544
"502.3234_33.3",0.36189,-1.4664,0.0011256,2.9486
"220.1181_30.1",2.2118,1.1452,0.0011342,2.9453
"304.1809_125.4",0.21619,-2.2096,0.0011417,2.9424
"394.2338_31.9",0.27873,-1.843,0.0011782,2.9288
"350.2062_31",0.21943,-2.1882,0.0012187,2.9141
"114.1026_97.6",2.3302,1.2205,0.001268,2.8969
"163.5948_95.7",0.088722,-3.4946,0.0012914,2.889
"245.1861_29.7",0.36895,-1.4385,0.0013175,2.8803
"310.173_29.9",0.19472,-2.3606,0.0013519,2.8691
"345.2132_39.1",0.35289,-1.5027,0.0013965,2.855
"399.1446_133.3",3.0255,1.5972,0.0013984,2.8544
"200.6186_289.7",0.27944,-1.8394,0.0014026,2.8531
"270.1923_92.9",0.30709,-1.7033,0.0014027,2.853
"359.2289_37.4",0.36872,-1.4394,0.0014088,2.8512
"180.1181_285.7",0.1287,-2.9579,0.0014099,2.8508
"638.2698_45",0.28858,-1.793,0.0014195,2.8479
"216.14_289.2",0.32537,-1.6199,0.0014301,2.8446
"190.9954_51.1",3.9237,1.9722,0.0014365,2.8427
"412.165_29.7",4.2903,2.1011,0.0014415,2.8412
