feature	VK_170831_025	VK_170831_037	VK_170831_043	VK_170831_073	VK_170831_079	VK_170831_103	VK_170831_115	VK_170831_163	VK_170831_169	VK_170831_175	VK_170831_187	VK_170901_037	VK_170901_055	VK_170901_061	VK_170901_091	VK_170901_097	VK_170901_121	VK_170901_139	VK_170901_151	VK_170901_163	VK_170901_175
strain	daf16	daf16	daf16	daf16	N2	daf16	N2	daf16	N2	daf16	N2	N2	N2	N2	daf16	N2	daf16	daf16	N2	N2	N2
85.076_105.5	5585407	5013124	5348859	5752740	      0	      0	4878606	3020690	      0	4176742	3680471	      0	 185597	 185597	3797035	1984804	1380490	1179407	 185597	6828248	 185597
85.0841_109.1	 9889882	13703820	15426840	13718980	 5111073	10262360	14071020	10592390	 6828938	14664800	 6709312	 6752057	16339860	 3356110	 8601424	12515480	 6401807	 8744970	 7257359	17835080	 6936999
85.6096_43.5	3634706.0	6764168.0	4639933.0	      0.0	1065767.0	1550710.0	5215483.0	1682855.0	 857358.3	6404996.0	2999306.0	 668701.5	1602681.0	 978209.1	 620338.5	8517831.0	1263624.0	1920221.0	 322957.2	4824545.0	 394959.4
86.06_35.1	3607931.0	4502871.0	4419213.0	4702562.0	1639467.0	2483111.0	2692684.0	3911215.0	1847054.0	3262255.0	 938626.9	1209736.0	2387138.0	 928062.9	3021218.0	1518699.0	1411390.5	3325309.0	1795012.0	3665220.0	1715273.9
86.0819_44	1014096.0	1140126.0	4412343.0	  15548.0	  15548.0	 781236.0	3600012.0	 170144.6	  15548.0	 270241.1	1504257.0	1114244.0	2265899.0	 275092.7	 462014.0	3284494.0	 279525.9	2022096.0	1224358.0	4712321.0	  11219.9
86.0914_44.2	2732078.0	  82501.9	1670319.0	4916328.0	 117314.5	 531079.9	2066270.0	  82501.9	  82501.9	 507052.9	1080997.0	1909110.0	1452964.0	 299514.2	2895644.0	1792774.0	5947767.3	1273212.0	 804387.9	3432665.0	      0.0
86.0964_53.4	 300675700	 325885100	1146020000	 258807300	  83010690	 240396500	 879372600	 180817600	  57712660	 246141900	 422810900	 284103100	 579746300	 142548400	 200093900	 767761300	 122756975	 529683300	 332603300	1162519000	  45186799
86.1014_44.3	1094921.0	1030227.0	2739401.0	  61430.1	  61430.1	 602981.1	2281992.0	 135376.7	  61430.1	 137936.8	 969698.2	 796986.1	1343414.0	 149294.6	2099356.0	2391403.0	  55385.6	 861653.9	2714833.0	3221921.0	      0.0
86.1109_44	2560293.0	2772294.0	4796324.0	3686562.0	 207504.2	 801669.6	3673417.0	2523713.0	 950817.0	3106114.0	1561015.0	1053009.0	2318285.0	 588361.5	 777559.7	3244761.0	2835922.3	1828786.0	1432486.0	4767328.0	 290281.6
